timestamp, index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/03/27 11:38:07.188, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:07.188, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:38:07.188, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:08.188, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 6 %
2026/03/27 11:38:08.188, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28963 MiB, 100 %
2026/03/27 11:38:08.188, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:08.188, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:08.188, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 99 %
2026/03/27 11:38:08.188, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:08.189, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:38:08.189, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:09.189, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 6 %
2026/03/27 11:38:09.189, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28963 MiB, 98 %
2026/03/27 11:38:09.189, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:09.189, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:09.189, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:38:09.189, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:09.189, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:38:09.189, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:10.189, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 6 %
2026/03/27 11:38:10.190, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28963 MiB, 100 %
